["Armed and Dangerous (1986)", "Jingle All the Way (1996)"]	[0.76487207889857822, 0.53309266105052422, 0.96878814567170213, 0.069908814589665649, 23, 130, 222]
["Beach Party (1963)", "Bikini Beach (1964)"]	[0.9642520844283694, 0.52595568241547419, 0.99471672264711486, 0.16216216216216217, 12, 47, 39]
["Broadcast News (1987)", "All the King's Men (1949)"]	[0.69903724855425997, 0.55030591907463022, 0.98433001822221855, 0.042479908151549943, 37, 789, 119]
["Broadcast News (1987)", "Even Cowgirls Get the Blues (1993)"]	[0.76792527671856237, 0.50312345716043738, 0.95052747570699425, 0.022326674500587545, 19, 789, 81]
["Carnosaur (1993)", "Carnosaur 2 (1995)"]	[0.91867080282114344, 0.50109316517516911, 0.96979042519265757, 0.13186813186813187, 12, 77, 26]
["Coma (1978)", "Heat (1995)"]	[0.73984351119181391, 0.53433142474964335, 0.98337834378888311, 0.024574669187145556, 26, 144, 940]
["Coma (1978)", "101 Dalmatians (1961)"]	[0.74313252751627978, 0.53080894822591418, 0.98375326406015462, 0.036549707602339179, 25, 144, 565]
["Coma (1978)", "Blob, The (1958)"]	[0.72869116019467606, 0.52627694902948829, 0.9679449224420551, 0.05701754385964912, 26, 144, 338]
["Coma (1978)", "Perfect Murder, A (1998)"]	[0.82056236689253492, 0.51665037915455903, 0.98650921356234422, 0.032196969696969696, 17, 144, 401]
["Coma (1978)", "Top Gun (1986)"]	[0.66959982569906407, 0.51017129577071541, 0.97996618495405019, 0.028520499108734401, 32, 144, 1010]
["Coma (1978)", "French Connection, The (1971)"]	[0.619547007257086, 0.50690209684670673, 0.98100743658258815, 0.046875, 45, 144, 861]
["Coma (1978)", "River Wild, The (1994)"]	[0.86066296582387036, 0.50205339673059113, 0.99312706632284153, 0.029166666666666667, 14, 144, 350]
["Craft, The (1996)", "Vampire in Brooklyn (1995)"]	[0.84740332774680327, 0.544759282122945, 0.97903099414828065, 0.036960985626283367, 18, 416, 89]
["Craft, The (1996)", "Relic, The (1997)"]	[0.61811115256655547, 0.5345826184359399, 0.96960613365519144, 0.10865874363327674, 64, 416, 237]
["Craft, The (1996)", "Kull the Conqueror (1997)"]	[0.77520207472542002, 0.53295142637372628, 0.971327004341619, 0.0437375745526839, 22, 416, 109]
["Craft, The (1996)", "Young Guns II (1990)"]	[0.62496258369348712, 0.5190367220505232, 0.95427967100461841, 0.066576086956521743, 49, 416, 369]
["Craft, The (1996)", "Atlantic City (1980)"]	[0.74908102680394628, 0.51499320592771303, 0.97814853960008841, 0.03151862464183381, 22, 416, 304]
["Craft, The (1996)", "Desperate Measures (1998)"]	[0.74758535416347371, 0.51396493098738816, 0.97107795373139927, 0.043564356435643561, 22, 416, 111]
["Craft, The (1996)", "Child's Play (1988)"]	[0.58679820533546978, 0.50641488953609037, 0.94152792076637382, 0.10641891891891891, 63, 416, 239]
["Cyrano de Bergerac (1990)", "Bird on a Wire (1990)"]	[0.77611400011626552, 0.53357837507993255, 0.97865381360173054, 0.030513176144244106, 22, 363, 380]
["Cyrano de Bergerac (1990)", "General, The (1927)"]	[0.80000000000000016, 0.51428571428571446, 0.98591195453464542, 0.032667876588021776, 18, 363, 206]
["Cyrano de Bergerac (1990)", "Yellow Submarine (1968)"]	[0.65186495983178017, 0.51015518595530629, 0.97452476527793286, 0.049586776859504134, 36, 363, 399]
["Cyrano de Bergerac (1990)", "It Happened One Night (1934)"]	[0.67866661477672408, 0.50464953406474355, 0.97930840121091955, 0.040960451977401127, 29, 363, 374]
