["12 Years a Slave (2013)", "Jagten (2012)"]	[0.6671378907298551, 0.5221079144842344, 0.9937391441268904, 0.04265402843601896, 36, 617, 263]
["127 Hours (2010)", "Life of Pi (2012)"]	[0.8440234908135901, 0.5529809077744211, 0.9897343150472251, 0.023543990086741014, 19, 95, 731]
["2 Fast 2 Furious (2003)", "Fast & Furious (2009)"]	[0.7633695608121825, 0.5001386777734989, 0.9905244377611945, 0.27941176470588236, 19, 31, 56]
["2 Guns (2013)", "Warm Bodies (2013)"]	[0.6567975514228211, 0.5525439718318972, 0.9817283288354497, 0.04753363228699552, 53, 675, 493]
["21 Jump Street (2012)", "The Wolverine (2013)"]	[0.7387027942155208, 0.5390533903734881, 0.9881221790511041, 0.02119309262166405, 27, 134, 1167]
["42 (2013)", "Oz the Great and Powerful (2013)"]	[0.658417904078431, 0.5387055578823527, 0.9865410246362004, 0.0405770964833183, 45, 288, 866]
["47 Ronin (2013)", "Insidious: Chapter 2 (2013)"]	[0.7570424221944907, 0.5343828862549347, 0.9754759921487288, 0.03927986906710311, 24, 233, 402]
["47 Ronin (2013)", "The Family (2013)"]	[0.7033457393665021, 0.5132522962944746, 0.9772322668016501, 0.05162523900573614, 27, 233, 317]
["4: Rise of the Silver Surfer (2007)", "Fantastic Four (2005)"]	[0.9095958272425123, 0.5597512783030846, 0.9881397311095659, 0.3902439024390244, 16, 29, 28]
["A Beautiful Mind (2001)", "Prisoners (2013)"]	[0.737464649391679, 0.5381498792858198, 0.995575701384517, 0.019313304721030045, 27, 114, 1311]
["A Good Day to Die Hard (2013)", "White House Down (2013)"]	[0.6007776274626471, 0.5227545589610045, 0.9762187673828007, 0.06332703213610585, 67, 416, 709]
["A Good Day to Die Hard (2013)", "Fast Five (2011)"]	[0.954425395225602, 0.5205956701230556, 0.9811775852278221, 0.02494802494802495, 12, 416, 77]
["A Good Day to Die Hard (2013)", "Escape Plan (2013)"]	[0.6486734510507712, 0.5076574834310383, 0.9794980246895347, 0.0448318804483188, 36, 416, 423]
["About Time (2013)", "Red 2 (2013)"]	[0.6307413283694406, 0.5256177736412005, 0.9847714167558629, 0.059665871121718374, 50, 465, 423]
["Abraham Lincoln: Vampire Hunter (2012)", "The Last Stand (2013)"]	[0.874700332194369, 0.5248201993166214, 0.9920100842084942, 0.03968253968253968, 15, 105, 288]
["Abraham Lincoln: Vampire Hunter (2012)", "The Wolverine (2013)"]	[0.729327126798652, 0.5083189065566363, 0.967977326980489, 0.018414731785428344, 23, 105, 1167]
["Abraham Lincoln: Vampire Hunter (2012)", "World War Z (2013)"]	[0.6669692870722087, 0.5081670758645399, 0.9694415367186101, 0.014974262985493684, 32, 105, 2064]
["Abraham Lincoln: Vampire Hunter (2012)", "Pacific Rim (2013)"]	[0.7811886632285159, 0.5021927120754746, 0.9778658312215879, 0.011944260119442602, 18, 105, 1420]
["After Earth (2013)", "The Family (2013)"]	[0.665087929325428, 0.570075367993224, 0.9704117842964944, 0.0670391061452514, 60, 638, 317]
["After Earth (2013)", "Jack the Giant Slayer (2013)"]	[0.6187226634037881, 0.54920326302134, 0.9768410782366699, 0.08186528497409326, 79, 638, 406]
["After Earth (2013)", "Gangster Squad (2013)"]	[0.5908792031989826, 0.5099368465963823, 0.9744490363864228, 0.059322033898305086, 63, 638, 487]
["Aftershock (2012)", "The Purge (2013)"]	[0.8464934385648434, 0.5209190391168267, 0.9685962794367607, 0.029357798165137616, 16, 43, 518]
